內容,標籤
南下名間交流道，沒多久時間，就在阡陌的田野中，發現這棟造型特殊的房子。,農舍法規，西曬
未來的退休生活做準備，55歲的他?定重拾當初的夢想，花費一年多的時間，積極看地和找地，好不容易找到這塊鄰近國家濕地的農舍法規，西曬，做為自己和陳大嫂退休後的永久居所。,農舍法規，西曬
但究竟是什麼樣的吸引力，讓夫妻倆一眼就?定買下這塊土地？除了純淨的田園風光，鄰近大型醫療資源和地底湧出的天然冷泉，也是考慮的重點因素。,農舍法規，西曬
蓋房子，是陳大哥從小的夢想。在辛苦工作了數十年後，陳大哥和辣大嫂選擇回到渴望已久的鄉野，讓生活與自然緊緊相依，一圖渣藏心中許久的田園夢··?,農舍法規，西曬
因為?定要生活在大自然裏，他們選擇把大半空間都留給自然，在高達1600多坪的農舍法規，西曬上，房屋建地卻還不到70坪,農舍法規，西曬
基地狀況農舍法規，西曬,農舍法規，西曬
基地面向河提，確保有一面保持寬敞視線，並且兩面緊臨馬路。另一側是國有地，有較高機率會沿用成農舍法規，西曬，能和鄰居之間就比較能保持一定的距離，維持寬鬆的空問感。,農舍法規，西曬
現在，他們幾乎每個假日都會回到宜蘭，享受輕鬆自在的田野生活，聽著潺潺水聲、天地的蟲鳴鳥叫，伴著家人間的笑鬧問候，生活就是如此簡單。,農舍法規，西曬
因為道路開關，讓這塊農舍法規，西曬被切割成一塊三角形,農舍法規，西曬
"地形方正,四周皆農田而視野遼,看來感覺好。而且,地主開的是行情價,又",農舍法規，西曬
"因移居外地而急於售地:經仲介協商後的售價,我們負擔得起。",農舍法規，西曬
朋友推薦三星鄉靠泰雅大橋的農舍法規，西曬，景色漂亮卻過於偏遠。,農舍法規，西曬
假日開車來這一帶繞繞，只要經過喜歡的區域，就會主動詢問在田裡工作的農夫附近是否有人要實地。,農舍法規，西曬
為了讓新建物與附近的農田、房舍顯得和諧，除避免把房子蓋到第三層，說服屋主用樸實的洗石子作外牆。並在基地邊緣配寘樹木。有天綠隆能大到足以遮掩這棟建物，不至於破壞這片平原的美麗風光。往外望出去，略有掩映的綠離，會比完全遮斷的一道圍牆要更順眼。在屋子東邊種植較高大的肉桂跟小葉欖仁，能削?風直吹房屋的威力：也能改善日曬問題。,農舍法規，西曬
四周都是水田，少有遮蔽物，不僅視野佳，通風也好。,農舍法規，西曬
將自家祖產田地劃分一部分的面積做為房屋基地，花費一年時間蒐集資料，並和建築師討論設計，,農舍法規，西曬
為了將自己從人生的穀底拉起，他開始動念在自家的農舍法規，西曬上，為自己蓋一棟房子。,農舍法規，西曬
